visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-11,mobile,LDP,Conversion,Lead-Phone,23989,0,0,0
2022-07-11,mobile,Other Consumer Pages,Conversion,Lead-Phone,16,0,0,0
2022-07-11,tablet,LDP,Conversion,Lead-Phone,480,0,0,0
2022-07-11,desktop,B2B,Engagement,Scroll-PLP,103,0,0,0
2022-07-11,mobile,B2B,Engagement,Scroll-PLP,33,0,0,0
2022-07-11,tablet,LDP,Search,Search B2B,1,0,0,0
2022-07-11,mobile,SRP,Search,Search B2B,37,0,0,0
2022-07-11,mobile,B2B,Search,Search B2B,251,0,0,0
2022-07-11,mobile,Other Consumer Pages,Search,Search B2B,86,0,0,0
2022-07-11,tablet,Other Consumer Pages,Search,Search B2B,2,0,0,0
2022-07-11,mobile,LDP,Search,Search B2B,9,0,0,0
2022-07-11,desktop,B2B,Search,Search B2B,857,0,0,0
2022-07-11,desktop,Other Consumer Pages,Search,Search B2B,115,0,0,0
2022-07-11,tablet,B2B,Search,Search B2B,2,0,0,0
2022-07-11,desktop,Legacy,Listing Creation,Click-Submit,84,0,0,0
2022-07-11,desktop,Other Consumer Pages,Search,Empty Result,7,0,0,0
2022-07-11,mobile,Other Consumer Pages,Search,Empty Result,3,0,0,0
2022-07-11,tablet,SRP,Search,Empty Result,190,0,0,0
